length,shares,num_authors,sentiment-score,readability-score,is-fake
3311,13,1,0.9904,10.845102055385581,1
8939,32,0,0.9937,11.932921713494668,1
3554,20,1,0.985,8.817502363928206,1
4518,10,1,-0.9993,10.37164093637455,1
62,47,0,0.0,,1
1265,119,0,0.2023,10.576551322751323,1
2396,157,1,0.9939,10.678680462046206,1
1400,54,1,0.4986,11.121900442673748,1
5807,17,1,-0.9564,10.249325770308122,1
407,205,0,-0.6582,,1
2676,128,1,-0.9552,8.89839231069477,1
2280,840,1,-0.9869,11.30722,1
3554,20,1,0.985,8.817502363928206,1
2172,89,1,-0.9044,9.734407246376811,1
7728,136,0,0.6248,7.945428284981394,1
3617,20,0,-0.9972,10.321538899850523,1
2129,243,1,-0.9571,11.245704597701149,1
1150,40,0,0.5684,10.771036523125996,1
1221,1,1,-0.9923,13.239972811059907,1
3797,9,1,0.9781,10.918119210110586,1
5219,14,1,-0.986,10.931730225988701,1
932,52,0,-0.8979,11.430587356321839,1
1523,8,0,-0.985,10.318884804708402,1
2028,87,0,-0.9892,9.947839339339339,1
5239,184,0,-0.9985,10.431185769156905,1
2543,2,0,-0.9897,10.367055476673428,1
3040,248,0,0.9758,9.278696067985795,1
11781,212,0,0.9928,11.894073873307732,1
2056,440,1,-0.7964,10.229510683760683,1
2162,379,0,0.7387,9.025216354916068,1
3216,14,0,-0.5411,9.570036677716391,1
3847,4,0,-0.6766,9.861092310920842,1
62,47,0,0.0,,1
1821,552,1,-0.9737,9.678192963752666,1
2222,4,0,-0.9146,8.172902898550724,1
1554,15,0,-0.9678,10.625352397995705,1
2979,8,0,-0.9809,9.827985714285715,1
2593,2,0,-0.9816,8.884596480331263,1
2883,49,1,-0.9567,10.306451575833428,1
1778,91,0,-0.9577,9.248992523513472,1
3322,17,0,-0.999,8.89034761904762,1
2018,385,0,0.9919,8.492183731778425,1
2275,17,0,-0.6946,8.93262183908046,1
2325,1193,0,0.875,11.208221726921728,1
1331,47,2,-0.9615,8.118460424966798,1
2867,128,1,-0.897,9.655973868173259,1
2085,271,0,0.9758,7.5445599230076175,1
2520,79,0,-0.995,9.966753142402546,1
932,52,0,-0.8979,11.430587356321839,1
2973,7,0,0.9989,7.072829885057471,1
2257,75,1,-0.9985,9.36620865279299,1
2023,49,0,0.9525,9.47261743478261,1
1815,127,1,0.8806,10.949388166524095,1
5768,18,3,-0.9976,9.778464192063906,1
4216,337,4,0.9951,10.444101879432624,1
1214,6,0,-0.8658,10.366255128205129,1
3406,164,3,-0.9824,11.089225490196078,1
5211,36,3,0.6386,9.958215791532218,1
2310,957,0,-0.968,9.956602624671916,1
2339,135,4,-0.5654,11.360228846153847,1
3697,65,3,0.4389,11.878216186252772,1
2909,6,1,-0.9899,9.0865839584996,1
2044,41,0,-0.9393,9.240930408163265,1
2860,11,1,0.8652,8.602557692307693,1
3050,13,1,-0.9957,10.782000999811357,1
2464,62,1,-0.996,10.168068898921495,1
2396,157,1,0.9939,10.678680462046206,1
2875,12,1,-0.9807,9.093621883790082,1
2115,101,0,-0.8928,11.060237137639808,1
2717,50,1,-0.6946,10.188954452674897,1
2977,11,1,-0.9435,9.19227022621185,1
4708,10,1,-0.9911,11.144740645840645,1
3714,12,1,0.9491,10.553768217054262,1
2454,38,1,-0.3379,10.178778873239438,1
2246,744,7,-0.9374,10.43215513784461,1
2949,219,4,0.9808,8.26962129380054,1
