length,shares,num_authors,sentiment-score,is-fake
3311,13,1,0.9904,1
8939,32,0,0.9937,1
3554,20,1,0.985,1
4518,10,1,-0.9993,1
62,47,0,0.0,1
1265,119,0,0.2023,1
2396,157,1,0.9939,1
1400,54,1,0.4986,1
5807,17,1,-0.9564,1
407,205,0,-0.6582,1
2676,128,1,-0.9552,1
2280,840,1,-0.9869,1
3554,20,1,0.985,1
2172,89,1,-0.9044,1
7728,136,0,0.6248,1
3617,20,0,-0.9972,1
2129,243,1,-0.9571,1
1150,40,0,0.5684,1
1221,1,1,-0.9923,1
3797,9,1,0.9781,1
5219,14,1,-0.986,1
932,52,0,-0.8979,1
1523,8,0,-0.985,1
2028,87,0,-0.9892,1
5239,184,0,-0.9985,1
2543,2,0,-0.9897,1
3040,248,0,0.9758,1
11781,212,0,0.9928,1
2056,440,1,-0.7964,1
2162,379,0,0.7387,1
3216,14,0,-0.5411,1
3847,4,0,-0.6766,1
62,47,0,0.0,1
1821,552,1,-0.9737,1
2222,4,0,-0.9146,1
1554,15,0,-0.9678,1
2979,8,0,-0.9809,1
2593,2,0,-0.9816,1
2883,49,1,-0.9567,1
1778,91,0,-0.9577,1
3322,17,0,-0.999,1
2018,385,0,0.9919,1
2275,17,0,-0.6946,1
2325,1193,0,0.875,1
1331,47,2,-0.9615,1
2867,128,1,-0.897,1
2085,271,0,0.9758,1
2520,79,0,-0.995,1
932,52,0,-0.8979,1
2973,7,0,0.9989,1
2257,75,1,-0.9985,1
2023,49,0,0.9525,1
1815,127,1,0.8806,1
5768,18,3,-0.9976,1
4216,337,4,0.9951,1
1214,6,0,-0.8658,1
3406,164,3,-0.9824,1
5211,36,3,0.6386,1
2310,957,0,-0.968,1
2339,135,4,-0.5654,1
3697,65,3,0.4389,1
2909,6,1,-0.9899,1
2044,41,0,-0.9393,1
2860,11,1,0.8652,1
3050,13,1,-0.9957,1
2464,62,1,-0.996,1
2396,157,1,0.9939,1
2875,12,1,-0.9807,1
2115,101,0,-0.8928,1
2717,50,1,-0.6946,1
2977,11,1,-0.9435,1
4708,10,1,-0.9911,1
3714,12,1,0.9491,1
2454,38,1,-0.3379,1
2246,744,7,-0.9374,1
2949,219,4,0.9808,1
2019,9,1,-0.6391,1
1697,22,1,0.8423,1
1458,648,2,-0.2746,1
3042,27,1,-0.9018,1
1362,47,1,-0.9868,1
3734,24,1,0.8893,1
3309,42,1,-0.979,1
2319,7,1,-0.9985,1
2821,25,1,-0.9923,1
2693,10,1,-0.9549,1
3213,28,1,-0.9813,1
2288,1214,7,-0.9545,1
2319,138,2,-0.5803,1
896,412,0,0.9286,1
2605,18,1,0.966,1
1362,87,1,-0.9669,1
4053,356,1,0.9951,1
1598,244,1,-0.4912,1
1649,557,1,0.7717,1
2536,38,1,-0.9549,1
2007,288,2,-0.9709,1
4074,1,1,0.9952,1
3194,1029,1,0.1901,1
1284,71,2,-0.8805,1
2282,5,2,0.9943,1
2213,34,1,-0.8002,1
1966,146,1,-0.8972,1
1053,30,1,-0.9904,1
2478,138,1,0.9491,1
1568,60,1,0.9509,1
2161,34,2,0.9572,1
2464,17,1,0.5719,1
2382,413,1,-0.994,1
2380,50,1,-0.9887,1
1299,135,1,0.6705,1
1392,136,1,0.926,1
3202,77,1,0.9445,1
4142,42,3,0.9869,1
2399,104,1,0.6319,1
2172,1438,1,0.5093,1
874,396,1,-0.9794,1
880,91,1,0.9022,1
4006,93,1,-0.9985,1
2496,69,1,0.9699,1
1604,162,1,0.9524,1
1956,231,1,-0.8715,1
2953,1030,1,0.9172,1
1303,144,1,0.5574,1
3773,128,1,-0.9515,1
902,70,1,-0.886,1
1809,332,1,0.9153,1
1833,166,1,-0.7899,1
1458,167,1,-0.9938,1
1673,435,1,0.5719,1
1605,36,1,-0.9712,1
2229,427,1,0.4601,1
1467,106,1,0.4947,1
1252,177,1,-0.8255,1
1887,4,1,-0.8208,1
1527,35,1,-0.9712,1
2819,419,1,0.8342,1
1771,3437,2,-0.991,1
2531,462,1,-0.9834,1
158,179,1,0.8625,1
3573,127,1,0.9964,1
3647,14,1,0.9834,1
1838,8,1,-0.9393,1
3016,25,1,-0.9371,1
1156,21,1,0.9578,1
1083,111,1,0.3612,1
6177,18,1,-0.9917,1
1415,30,1,-0.4745,1
2622,23,6,0.9688,1
4184,41,1,-0.9925,1
1182,80,1,0.9477,1
10154,244,1,-0.9921,1
